target_id	length	eff_length	est_counts	tpm
YHR009C	1572	1288.69	8040	108.345
YHR010W	411	145.884	3028	360.453
YHR011W	1341	1057.89	1138	18.6811
YHR012W	849	561.931	1345	41.5663
YHR013C	717	430.543	943	38.0362
YHR014W	876	587.556	591	17.4679
YHR015W	1980	1736.02	730	7.30247
YHR016C	1407	1115.88	2067	32.1682
YHR017W	1158	874.263	1549	30.7688
YHR018C	1392	1106.41	4681	73.4725
YHR019C	1665	1359.89	6790	86.7096
YHR020W	2067	1767.46	5117	50.2767
YHR021C	249	48.6027	1974	705.324
YHR021W-A	456	182	126	12.0227
YHR022C	771	481.588	534	19.2561
YHR022C-A	90	40.1789	97	41.9252
YHR023W	5787	5572.98	2460	7.66566
YHR024C	1449	1154.94	3298	49.59
YHR025W	1074	771.239	2524	56.8332
YHR026W	642	352.475	4442	218.853
YHR027C	2982	2716.16	34908	223.189
YHR028C	2457	2178.09	8472	67.5478
YHR028W-A	321	84.4295	204	41.9602
YHR029C	885	602.612	2084	60.0567
YHR030C	1455	1167.72	10949	162.831
YHR031C	2172	1893.68	6684	61.2958
YHR032W	1746	1465.59	7154	84.7692
YHR032W-A	180	31.8058	208.803	114.007
YHR032C-A	120	33.6798	54.1969	27.9451
YHR033W	1272	975.495	42884	763.435
YHR034C	1035	743.397	2171	50.7155
YHR035W	1893	1615.12	2340	25.1601
YHR036W	1416	1130.08	3320	51.019
YHR037W	1728	1440.8	12637	152.315
YHR038W	693	411.53	851	35.9112
YHR039C	1935	1658.97	9751	102.073
YHR039C-A	345	99.0566	5206	912.688
YHR040W	1101	807.413	4444	95.5829
YHR041C	633	338.185	1019	52.3265
YHR042W	2076	1768.67	5230	51.3518
YHR043C	741	451.361	1746.42	67.1934
YHR044C	741	455.111	1086.58	41.4616
YHR045W	1683	1403.57	2009	24.857
YHR046C	888	605.79	645	18.4901
YHR047C	2571	2296.95	1572	11.8851
YHR048W	1545	1255.92	3567	49.3223
YHR049W	732	440.52	5694	224.468
YHR049C-A	297	70.8033	195	47.8281
YHR050W	1650	1365.72	6770	86.085
YHR050W-A	171	30.4766	289	164.677
YHR051W	447	174.787	8340	828.626
YHR052W	1131	850.917	7967	162.596
YHR052W-A	195	34.6463	403.06	202.029
YHR052C-B	174	30.9686	0	0
YHR053C	186	32.9682	1040.94	548.317
YHR054C	1065	797.341	0	0
YHR054W-A	195	34.6463	403.06	202.029
YHR054C-B	174	30.9686	0	0
YHR055C	186	32.9682	1040.94	548.317
