"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YJR038C",110.140720446958,1.38045448697928,0.223793723136901,1.51431217452881e-12,7.72499858323542e-12
"YNL284C-B",1131.48096860664,1.03702667988256,0.163458043362405,3.2505493431024e-12,1.60202149477449e-11
"YOL086C",49530.6515435073,1.26473715481516,0.209848471795321,5.47947437701918e-12,2.64672766033879e-11
"YER152W-A",251.876643287049,1.08491819549343,0.180541195087281,1.8669869860749e-11,8.56902512192162e-11
"YGR192C",142353.105085638,1.23323952456552,0.21891319875915,6.91218240406829e-11,2.98418428988304e-10
"YCL020W",3479.94963965002,1.44000014969524,0.267967983908342,1.57699013159511e-10,6.54495904330374e-10
"YDR342C",51615.6619870302,1.2111536584082,0.227394268548343,4.48560488882032e-10,1.77606073789044e-09
"YNR034W-A",21190.2176034501,1.21408855257414,0.240242083080056,1.9383150732043e-09,7.20401598757647e-09
"YBR054W",8609.21698106355,1.39578300650261,0.291548445054206,3.86852114303167e-09,1.38736826745985e-08
"YER053C",5960.83878780557,1.00139887230678,0.193451469145653,4.19070234921945e-09,1.49798726792143e-08
"YLL026W",32464.2883805083,1.25838852591603,0.261797574580399,5.61729800134972e-09,1.97981773930177e-08
"YGR236C",5290.75322944325,1.27305602806587,0.265712510843443,5.70312016895928e-09,2.00898393465223e-08
"YGR008C",8204.13724042702,1.00211590267444,0.206474907075372,2.20324689439769e-08,7.27560591515282e-08
"YDR343C",29522.4827259463,1.04283183872815,0.220792595659308,3.10793598925376e-08,1.00650376297209e-07
"YGL259W",100.23657525686,1.30218916480575,0.301925452960641,5.09736280991357e-08,1.61326110207371e-07
"YLR410W-A",2761.20485445964,1.0779407989904,0.237189410052862,5.73152547456769e-08,1.80436913088242e-07
"YKL036C",76.4967314221139,1.04833366461992,0.236417247680118,1.17746894542291e-07,3.5877719961792e-07
"YDR210W-B",61.4772052135208,1.42175498387758,0.385506984945822,4.93405341629807e-07,1.40405998302917e-06
